id,lat,lon,user,uid,version,changeset,timestamp
196629480,43.0631067,-88.0353442,TheRedComputer,1709658,5,17283684,2013-08-09T19:33:17Z
196629517,43.0893031,-88.0522862,Tom Layo,280679,6,12604699,2012-08-04T02:11:54Z
196629563,43.0500367,-87.9462247,Gary Cox,383843,4,7563527,2011-03-15T06:46:07Z
196629607,43.0499852,-87.9204828,ItalianMustache,1743198,4,36188806,2015-12-27T06:02:54Z
196629676,43.0491081,-88.062088,Rub21,510836,3,17152963,2013-07-30T13:22:15Z
196629727,42.9570173,-88.0241503,maxerickson,360392,3,18622364,2013-10-30T18:48:11Z
196629778,43.1352557,-87.9518656,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:11:59Z
196629822,43.1342146,-88.0086986,David Peters,353101,4,13113808,2012-09-15T00:47:58Z
196629859,43.1341541,-88.0538752,bbauter,156587,4,4288006,2010-03-31T18:32:12Z
196629940,43.1514988,-87.9089078,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:12:02Z
196630000,43.1331142,-87.9062727,woodpeck_fixbot,147510,5,2151937,2009-08-15T11:12:03Z
196630036,43.1084636,-87.9168496,iandees,4732,6,5576646,2010-08-24T02:55:16Z
196630079,43.1622282,-87.9117026,maxerickson,360392,7,18611634,2013-10-30T04:35:44Z
196630145,43.0776391,-87.8877751,ItalianMustache,1743198,8,36901958,2016-01-30T17:23:25Z
196630192,43.0432436,-88.0135263,iandees,4732,4,16578451,2013-06-16T16:51:53Z
196630296,43.1432429,-88.0056819,adbrown,54598,4,2281354,2009-08-27T19:30:50Z
196630358,43.1813993,-87.9219192,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:12:10Z
196630400,43.0331672,-87.9899135,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:12:12Z
196630448,42.972015,-87.9181012,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:12:13Z
196630512,43.1589771,-88.0447548,Rub21,510836,7,17153566,2013-07-30T14:12:03Z
196630584,42.9125429,-88.0191776,ItalianMustache,1743198,4,44635356,2016-12-23T22:47:06Z
196630666,43.090267,-88.0377133,FightingIrish1,1704100,8,19047445,2013-11-22T00:27:45Z
196630784,43.0339818,-87.9215142,Mulad,502142,6,9869867,2011-11-19T03:17:46Z
196630881,43.054377,-88.0461915,Mulad,502142,4,19543380,2013-12-20T02:47:47Z
196631029,43.0425622,-87.9727764,Mulad,502142,5,27192533,2014-12-03T03:35:53Z
196631185,43.0628566,-87.9517024,Gary Cox,383843,3,7398244,2011-02-26T10:23:55Z
196631323,43.0327486,-87.9669587,bbauter,156587,4,4419329,2010-04-14T03:18:47Z
196631443,43.0288763,-87.9383959,bbauter,156587,4,4419329,2010-04-14T03:06:30Z
196631516,43.1040863,-87.9467181,Mulad,502142,6,19591051,2013-12-22T22:30:16Z
196631668,43.0454375,-87.9648479,Gary Cox,383843,4,8614523,2011-07-03T05:19:48Z
196631747,43.0244886,-88.0012814,Gary Cox,383843,3,8376632,2011-06-08T08:12:43Z
196631891,42.9533997,-87.9840981,noliver,91568,3,18220745,2013-10-06T21:27:40Z
196631945,43.0797278,-87.897557,ItalianMustache,1743198,5,29332801,2015-03-08T15:46:59Z
196632015,43.1013575,-87.9466223,ItalianMustache,1743198,5,33992082,2015-09-13T04:00:24Z
196632086,42.9115643,-88.0669822,maxerickson,360392,3,18622364,2013-10-30T18:48:11Z
196632131,43.0486543,-87.9488315,Gary Cox,383843,7,7454798,2011-03-04T14:26:44Z
196632175,43.0488156,-87.9730959,ItalianMustache,1743198,6,37489032,2016-02-27T20:52:49Z
196632226,43.0485151,-87.921555,shuui,1952296,9,38459655,2016-04-10T19:56:03Z
196632274,43.1918835,-87.9262697,adbrown,54598,3,2257309,2009-08-25T15:53:59Z
196632323,42.9672057,-87.9643879,whammypower788,108601,4,3859138,2010-02-12T19:18:43Z
196632402,43.1203577,-87.9209862,iandees,4732,5,5478524,2010-08-13T04:17:47Z
196632482,43.1516281,-87.9414471,maxerickson,360392,5,18618243,2013-10-30T14:34:39Z
196632563,43.059655,-88.0104259,adbrown,54598,3,4501093,2010-04-23T07:12:23Z
196632617,43.1075317,-87.8946233,iandees,4732,5,6474843,2010-11-28T01:23:49Z
196632674,43.1828143,-87.9122513,bbauter,156587,3,2245086,2009-08-24T15:36:08Z
196632761,42.9991919,-88.0040552,FightingIrish1,1704100,6,18402921,2013-10-17T13:00:56Z
196632799,42.9988917,-88.0333687,Rub21,510836,5,17142564,2013-07-29T17:52:27Z
196632844,42.9992036,-87.9212657,Gary Cox,383843,4,8307271,2011-06-01T05:45:41Z
196632890,42.9992609,-87.9933777,FightingIrish1,1704100,4,18422079,2013-10-18T16:01:33Z
196632951,43.1337816,-88.0515418,Tom Layo,280679,3,12603892,2012-08-03T23:07:06Z
196633005,43.0993471,-87.9745618,adbrown,54598,3,7712847,2011-03-30T04:22:39Z
196633056,43.1795525,-88.0323661,iandees,4732,3,16570639,2013-06-16T03:26:06Z
196633148,43.1841454,-87.9720453,ItalianMustache,1743198,4,38064909,2016-03-25T15:20:58Z
196633216,42.9445515,-87.8679109,Gary Cox,383843,6,8678880,2011-07-09T23:17:43Z
196633300,43.1093893,-87.8997354,iandees,4732,6,14002461,2012-11-23T18:06:36Z
196633388,43.1814137,-87.9887446,adbrown,54598,4,2429973,2009-09-09T21:37:34Z
196633497,43.1484845,-87.9723134,maxerickson,360392,5,18618243,2013-10-30T14:34:39Z
196633581,42.9511558,-87.9467759,whammypower788,108601,3,3949518,2010-02-23T05:15:10Z
196633631,43.0323295,-88.010265,ItalianMustache,1743198,4,32963557,2015-07-29T18:57:52Z
196633675,43.032129,-88.0072257,ItalianMustache,1743198,7,32963557,2015-07-29T18:57:52Z
196633793,42.9943861,-87.9219586,Mulad,502142,4,19525289,2013-12-19T03:38:41Z
196633877,43.1190383,-88.0619275,Mulad,502142,5,15072496,2013-02-18T04:32:56Z
196634012,43.1094298,-88.0601351,Mulad,502142,4,27192350,2014-12-03T03:00:47Z
196634149,43.0100673,-88.016803,Mulad,502142,3,19525598,2013-12-19T04:44:32Z
196634259,43.0105334,-88.0432646,Mulad,502142,4,19525598,2013-12-19T04:44:32Z
196634401,42.9814406,-87.8840769,Gary Cox,383843,4,8548760,2011-06-26T06:37:45Z
196634465,43.1701118,-87.9005517,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:13:59Z
196634540,42.9067839,-87.8916977,Gary Cox,383843,6,8568818,2011-06-28T07:30:00Z
196634619,43.0065445,-87.8976853,bbauter,156587,4,4433516,2010-04-15T19:22:28Z
196634728,43.1417399,-87.9656226,Mulad,502142,3,19590695,2013-12-22T22:02:27Z
196634903,43.0160328,-87.9962446,be9110,23999,3,4216717,2010-03-23T22:07:27Z
196635013,42.9497058,-87.9604187,Gary Cox,383843,3,7291216,2011-02-15T01:42:05Z
196635067,43.0720336,-87.8953344,David Peters,353101,4,13906810,2012-11-17T15:35:45Z
196635124,43.1135424,-88.0129877,ItalianMustache,1743198,3,33981302,2015-09-12T14:24:08Z
196635172,43.1082673,-87.9616692,Mulad,502142,4,19590695,2013-12-22T22:02:28Z
196635220,43.1823423,-87.895213,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:14:11Z
196635284,43.0206605,-87.9600468,ItalianMustache,1743198,4,33633432,2015-08-27T23:54:51Z
196635342,42.903861,-88.0171728,Tom Layo,280679,3,8864068,2011-07-29T14:54:40Z
196635388,42.936384,-87.8699796,Gary Cox,383843,4,8678880,2011-07-09T23:26:21Z
